id_empresa;id_natureza_juridica;id_endereco;cd_cnpj;fl_matriz;dt_abertura;nm_razao_social;de_situacao
89;10015;10103;15136062000100;1;9/23/1986;INSTITUTO DE ENSINO E ASSISTENCIA TECNICA ELETRONICA LT;BAIXADA
90;10104;10105;17184201078970;0;6/20/1986;TELECOMUNICACOES DE MINAS GERAIS SA TELEMIG;BAIXADA
91;10015;10106;15136583000150;1;12/31/1965;ARTUR WATT IRMAO CIA LTDA;BAIXADA
92;10015;10107;15361199000150;1;10/4/1982;MAMORE AUTO POSTO LTDA;BAIXADA
93;10015;10108;15608045000110;1;1/11/1983;FERNANDES & FILHOS LTDA;BAIXADA
94;10013;10109;07435464000170;1;5/30/1984;LUIZ HIPOLITO DOS SANTOS ME;BAIXADA
95;10013;10110;08180392000120;1;7/26/2006;GIOVANNI CIRACI ME;BAIXADA
96;10013;10111;02265502000170;1;10/10/1977;ILDEU DOS SANTOS ABBADIA;BAIXADA
97;10013;10112;04907539000180;1;2/18/2002;F DE ASSIS MELO ME;BAIXADA
98;10013;10113;12537293000120;1;9/16/2010;GERALDO SIMIAO AZEVEDO ME;BAIXADA
99;10015;10114;09437544000190;1;3/24/2008;H D INFORMATICA LTDA ME;BAIXADA
100;10035;10115;10118122000130;1;7/12/2008;ELEICAO 2008 COMITE FINANCEIRO MUNICIPAL PARA VEREADOR SP PSDC;BAIXADA
101;10053;10116;03814359000190;1;5/11/2000;ITIBAN CONTABILIDADE LTDA ME SC;BAIXADA
102;10015;10117;61538567000100;1;9/21/1989;COPERNOX INOXIDAVEIS LTDA;BAIXADA
103;10013;10118;04966436000190;1;3/25/2002;J DE OLIVEIRA MUNIZ PANIFICADORA ME;BAIXADA
104;10013;10119;64624521000100;1;10/2/1990;ARTHUR PEDRO FERREIRA ASSIS;BAIXADA
105;10013;10120;77365765000150;1;6/20/1977;ACCACIO MOSCARDI;BAIXADA
106;10013;10121;00326297000180;1;11/30/1994;MARCI VICENTE PSCHEIDT ME;ATIVA
107;10013;10122;14644627000190;1;10/13/2011;FRANCISCO ANTONIO CORREA DE APOIO ESCRITORIO ME;ATIVA
108;10013;10123;13629575000110;1;5/2/2011;MARLENE ALVES DE FREITAS ME;ATIVA
109;10013;10124;15581916000150;1;5/23/2012;CLAUDENIR MANOEL DE ARAUJO MEI;ATIVA
110;10015;10125;03471229000100;1;10/26/1999;MOVEIS PORTUGUES LTDA ME;ATIVA
111;10015;10126;06230514000110;1;4/23/2004;MERCADAO DE CARNES CACHOEIRINHA LTDA ME;ATIVA
112;10013;10127;14894610000190;1;1/17/2012;JOSIAS ALVES DE CAMPOS MEI;ATIVA
113;10013;10128;05438357000170;1;12/2/2002;IOLANDA CIRINO ME;ATIVA
114;10015;10129;13401477000120;1;3/21/2011;LAGOA LOTERIAS LTDA ME;ATIVA
115;10013;10130;72833999000160;1;8/25/1966;MICHEL GEORGES MICHAELIDES ME;ATIVA
116;10015;10131;12481765000170;1;8/31/2010;GCR COMERCIO DE MERCADORIAS EM GERAL LTDA;ATIVA
117;10015;10132;11771732000100;1;4/5/2010;ILHA COMERCIO DE ARTIGOS DE SURF LTDA ME;ATIVA
118;10015;10133;10441320000130;1;10/30/2008;PORTAS PRONTAS BARRETO LTDA ME;ATIVA
119;10015;10134;10850466000130;1;5/14/2009;SG PROJETOS LTDA;ATIVA
120;10013;10135;10480447000240;0;2/1/2012;A R L DE SOUZA ROUPAS ME;ATIVA
121;10015;10136;15697292000130;1;6/1/2012;PET CAO PRODUTOS VETERINARIOS LTDA ME;ATIVA
122;10013;10137;15217444000150;1;3/19/2012;RICARDO FIDELIS MELO ME;ATIVA
123;10013;10138;15220854000150;1;3/19/2012;JOAO BATISTA LIMA DA SILVA MEI;ATIVA
124;10139;10140;15740742000120;1;12/1/2009;DIRETORIO DO PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO PMDB DO MUNICIPIO DE NOSSA SENHORA DE LOURDES;ATIVA
125;10057;10141;08216974000380;0;8/16/2006;ALCIDES DOS SANTOS MOREIRA E OUTRA;ATIVA
126;10015;10142;01995195000110;1;7/16/1997;BESTWAY LOCACOES E SERVICOS LTDA ME;ATIVA
127;10013;10143;03391792000160;1;9/3/1999;GEDEAO LOURENCO DE SOUZA ME;ATIVA
128;10057;10144;08457794000390;0;2/11/2010;ARY ANTONIO MADUREIRA;ATIVA
129;10015;10145;14222846000180;1;8/24/2011;ACADEMIA C 4 FITNESS LTDA ME;ATIVA
130;10013;10146;07669934000160;1;9/1/2005;M A NOGUEIRA REPRESENTACOES COMERCIAIS ME;BAIXADA
131;10015;10147;06137179000100;1;2/19/2004;ESPACO CONHECIMENTO CONSULTORIA EPP LTDA;ATIVA
132;10148;10149;01387360000150;1;8/23/1996;CONDOMINIO EDIFICIO ANDRAUS GOLDEN;ATIVA
133;10139;10150;09545298000190;1;4/29/2008;PARTIDO DA REPUBLICA PR DE RIACHO DE SANTANA;ATIVA
134;10015;10151;40484867000850;0;10/25/1994;JCE CONSULTORIA E PARTICIPACOES LTDA;ATIVA
135;10013;10152;48346043000150;1;1/11/1982;SEBASTIAO MIGUEL DE CAMPOS ME;ATIVA
136;10015;10153;13567044000140;1;4/11/2011;BUT COMERCIO DE ALIMENTOS LTDA;ATIVA
137;10013;10154;13598884000170;1;5/5/2011;EDEGAR PEREIRA MEI;BAIXADA
138;10015;10155;04056122000150;1;9/18/2000;ALZENIR SANTANA COMERCIO LTDA ME;ATIVA
139;10015;10156;04841694000140;1;1/3/2002;CARRO FACIL VEICULOS LTDA;ATIVA
140;10148;10157;66508078000120;1;4/16/1992;CONDOMINIO EDIFICIO ELIANA;ATIVA
141;10013;10158;11726294000150;1;3/15/2010;JAILSON BEZERRA PEREIRA ME;ATIVA
142;10013;10159;11959342000150;1;5/18/2010;MARIZA CRISTIANE ALTHAUS MEI;ATIVA
143;10015;10160;34481390000180;1;12/15/1988;OLIVEIRA & GARCIA LTDA ME;ATIVA
144;10013;10161;12555119000100;1;9/20/2010;MARGARETE PEREIRA ARCENIO MEI;ATIVA
145;10015;10162;07907566000140;1;3/22/2006;QUANTTO AGENCIA DE MARKETING LTDA ME;ATIVA
146;10013;10163;01682355000170;1;2/5/1997;ELITON ALVES ME;ATIVA
147;10013;10164;08455770000130;1;10/30/2006;DILSON FERREIRA DOS SANTOS BRITAMENTO DE PEDRAS ME;ATIVA
148;10015;10165;74034307000140;1;12/30/1993;ELETRO FRIO ESTRELA DA LIBERDADE LTDA ME;ATIVA
149;10013;10166;14672094000150;1;11/24/2011;SEBASTIANA APARECIDA MEI;ATIVA
150;10013;10167;02521644000150;1;5/14/1998;ADRIANA RESENDE LOPES ME;ATIVA
151;10013;10168;14133477000150;1;8/17/2011;ORLANDO PINHO GUIMARAES ME;ATIVA
152;10013;10169;06021074000190;1;11/12/2003;MARCIA R LIMA AUTOMOVEIS ME;ATIVA
153;10013;10170;07784989000110;1;1/5/2006;FARLEY SILVA LEITE ME;ATIVA
154;10013;10171;14550570000160;1;11/1/2011;WELLINGTON ALVES DE LIMA MEI;ATIVA
155;10013;10172;14570622000160;1;10/24/2011;S A R BANSI ME;ATIVA
156;10035;10173;01052752000240;0;1/31/1973;ASAS DE SOCORRO;ATIVA
157;10013;10174;09353200000100;1;2/8/2008;B P GONSIORKIEWICZ ME;ATIVA
158;10013;10175;09102759000150;1;5/28/2007;I DE L MOREIRA DE MORAES CALCADOS ME;ATIVA
159;10015;10176;09310725000150;1;1/10/2008;CLINICA ODONTOLOGICA ODONTOSAUDE LTDA ME;ATIVA
160;10057;10177;08374337000170;1;10/20/2006;SALUSTIANO JOAQUIM TONCHIS;ATIVA
161;10083;10178;08225677000130;1;8/4/2006;RAFAELA DE O G ELIAS CALHAS EIRELI ME;ATIVA
162;10083;10179;13865327000410;0;3/20/2012;HOKKAI COMERCIO E SERVICOS DE ALIMENTACAO EIRELI EPP;ATIVA
163;10013;10180;15296818000170;1;3/30/2012;PALOMA VEBER SOETHE MEI;ATIVA
164;10057;10181;08402134000140;1;10/27/2006;MARIA EMILIA APARECIDA VIANA;ATIVA
165;10015;10182;59121624000100;1;6/23/1988;COMERCIAL T PAULISTA EPP LTDA;ATIVA
166;10013;10183;92112333000120;1;5/3/1988;C A S GONCALVES ME;ATIVA
167;10184;10185;08661339000140;1;2/15/2007;FUNDO DE INVESTIMENTO EM QUOTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO TERTIUS DINAMICO;BAIXADA
168;10013;10186;14577061000120;1;11/7/2011;MARCIO LUIZ BATISTA MEI;ATIVA
169;10015;10187;14797432000180;1;10/25/2011;OMEGA GESTORA DE RECURSOS LTDA;ATIVA
170;10074;10188;16700845000120;1;8/15/2012;ELEICAO 2012 WILSON MARINHO DE CARVALHO VEREADOR;BAIXADA
171;10013;10189;14581505000100;1;11/7/2011;ELMA VIVIANE PAIVA AMORIM MEI;ATIVA
172;10015;10190;15309170000120;1;4/3/2012;MARESIA PESCADOS LTDA ME;ATIVA
173;10013;10191;14384803000100;1;9/30/2011;MARIA NATIVIDADE DE MELO VESELICH MEI;BAIXADA
174;10015;10192;07104105000210;0;6/23/2006;CENTRO DE FORMACAO DE CONDUTORES SOLUCAO LTDA ME;ATIVA
175;10013;10193;15797920000150;1;6/28/2012;FABIANA SOUSA PONTES DO AMARAL MEI;ATIVA
176;10015;10194;89809099000180;1;5/8/1979;OCLIDES ANTONIO MICHELON E FILHAS LTDA;BAIXADA
177;10013;10195;88740717000110;1;7/11/1983;MARIA T P LEIRIA;BAIXADA
178;10015;10196;88485743000140;1;11/12/1976;KOLLER CIA LTDA;BAIXADA
179;10015;10197;29190576000140;1;7/30/1975;ARMARINHO FIGUEIREDO LTDA ME;BAIXADA
180;10035;10198;51444594000160;1;5/29/1985;TEMPLO DE UMBANDA SAO SEBASTIAO;BAIXADA
181;10199;10200;60124799000150;1;9/5/1989;DORALICE DA GRACA CAMPOS;BAIXADA
182;10015;10201;50962802000150;1;8/13/1982;TECELAGEM DORA LTDA;BAIXADA
183;10013;10202;56609704000110;1;10/31/1986;IETE TERESINHA BELING INGLESE;BAIXADA
184;10015;10203;25278086000140;1;5/23/1988;PADARIA E CONFEITARIA ERVALIA LTDA;BAIXADA
185;10015;10204;31669633000110;1;11/10/1987;DISTRIBUIDORA DE BEBIDAS RANCHO NOVO LTDA;BAIXADA
186;10013;10205;52817210000170;1;9/6/1983;JOSE JOAO DA SILVA ADAMANTINA;BAIXADA
187;10013;10206;29319787000130;1;2/27/1985;C CARNEVALE DISTRIBUIDORA DE BEBIDAS;BAIXADA
188;10013;10207;19304245000130;1;9/28/1976;GORGONILO GARCIA;BAIXADA
189;10015;10208;50109289000150;1;12/12/1978;RESTAURANTE E LANCHONETE CHOPAO LTDA;BAIXADA
190;10199;10209;54677331000190;1;8/26/1986;MARIA TERESA WOLFF MORAES;BAIXADA
191;10013;10210;52070638000100;1;11/10/1982;ELPIDIO LANZILLO NETO;BAIXADA
192;10013;10211;55228365000160;1;1/6/1986;ALCENDINO NUNES DA SILVA ME;BAIXADA
193;10015;10212;64797277000170;1;11/1/1990;CAZALLAS SANTOS COMERCIO DE BIJUTERIAS LTDA;BAIXADA
194;10015;10213;68747245000200;0;6/22/1993;ASCOT INDUSTRIA E COMERCIO DE MOVEIS LTDA ME;BAIXADA
195;10015;10214;73497265000110;1;10/14/1993;CAMPANA TRANSPORTES LTDA;BAIXADA
196;10015;10215;67048348000120;1;10/8/1991;M F CALIL COMERCIO E REPRESENTACOES LTDA;BAIXADA
197;10015;10216;76684166000640;0;5/10/1994;EMPRESA OTICA GLOBAL LTDA ME;BAIXADA
198;10013;10217;64069826000190;1;8/13/1990;MARIA PEREIRA DE LACERDA;BAIXADA
199;10015;10218;72259583000180;1;5/20/1993;ELLO CONTABIL LTDA ME;BAIXADA
200;10035;10219;78677176000170;1;2/25/1987;ASSOCIACAO DOS SERVIDORES MUNICIPAIS;BAIXADA
201;10053;10220;71540447000100;1;2/21/1994;MATER YANG SERVICOS MEDICOS LTDA ME SC;BAIXADA
202;10015;10221;40402109000170;1;2/26/1992;LA MUDANCE RESTAURANTE LTDA;BAIXADA
203;10013;10222;42967455000120;1;12/7/1992;JOSE MARIA DOS SANTOS;BAIXADA
204;10013;10223;44907251000120;1;10/31/1980;JORGE BRAGA DO NASCIMENTO MERCEARIA ME;BAIXADA
205;10015;10224;44245108000110;1;7/29/1980;BAR E EMPORIO IRMAOS GONCALVES LTDA;BAIXADA
206;10013;10225;36902278000100;1;12/4/1991;ILDA MARIA ROSA COMERCIO;BAIXADA
207;10015;10226;33279563000110;1;7/10/1989;DIMACON DIST DE MATERIAIS ELETRICOS E CONSTRUCAO LTDA;BAIXADA
208;10015;10227;37274180000100;1;12/30/1991;ESCOLA INFANTIL O MAGICO PINTOR LTDA;BAIXADA
209;10015;10228;43221084001330;0;5/10/1993;AKZO NOBEL COATINGS LTDA;BAIXADA
210;10015;10229;90613217000160;1;12/4/1986;SOLAR IMOVEIS LTDA;BAIXADA
211;10013;10230;93655918000150;1;11/7/1990;JOAO LUIS FRAGA ARMAZEM;BAIXADA
212;10013;10231;87876496000140;1;4/10/1974;LUIZ JOAO EVALDT;BAIXADA
213;10015;10232;89438311000140;1;10/17/1983;PETEFFI & TRIERWEILER LTDA;BAIXADA
214;10015;10233;83704502000120;1;10/1/1979;INDUSTRIAL DE RACOES RAMELLA LTDA;BAIXADA
215;10013;10234;94180098000150;1;8/16/1991;JOSE OLAVIO DE CAMPOS;BAIXADA
216;10013;10235;93817237000140;1;1/23/1991;RAUL CAMPOS DA FONTOURA;BAIXADA
217;10013;10236;96594700000120;1;1/27/1971;SILVIO DE BORBA LUCAS;BAIXADA
218;10013;10237;81797078000180;1;4/5/1990;MUSSULINE ZANETTE;BAIXADA
219;10015;10238;94632130000190;1;6/5/1992;MADESOL COMERCIO DE MATERIAIS DE CONSTRUCAO LTDA ME;BAIXADA
220;10015;10239;91546036000120;1;9/2/1987;PEDRO CARRER & CIA LTDA;BAIXADA
221;10013;10240;19645365000100;1;5/17/1977;GENESIO DE PAULA MAFRA;BAIXADA
222;10013;10241;52289014000170;1;2/18/1983;MARCO ANTONIO CRIVELLARI;BAIXADA
223;10015;10242;30691836000140;1;8/27/1986;RAQUEL COMERCIO LTDA;BAIXADA
224;10013;10243;20555413000140;1;10/4/1978;JOSE BARBOSA DA SILVA;BAIXADA
225;10013;10244;20000204000130;1;8/1/1984;ARISTIDES MENDONCA;BAIXADA
226;10053;10245;31170392000160;1;12/2/1986;CENTRAL ADMINISTRACAO E PARTICIPACOES LTDA;BAIXADA
227;10015;10246;27668193000100;1;12/22/1981;SENDON & CIA LTDA ME;BAIXADA
228;10013;10247;27357292000170;1;6/20/1977;ANGELO DEMUNER;BAIXADA
229;10015;10248;32224826000120;1;12/20/1988;DERBY PARTICIPACOES LTDA;BAIXADA
230;10053;10249;55614317000100;1;4/4/1986;RODAN ASSESSORIA TECNICA LTDA SC;BAIXADA
231;10015;10250;61906053000160;1;11/9/1989;HAICA MOTOS E ACESSORIOS LTDA;BAIXADA
232;10015;10251;50986116000110;1;8/19/1982;COMERCIAL DE RELOGIOS GUE LTDA;BAIXADA
233;10013;10252;27306927000100;1;1/25/1982;MARIA LAMEIRA SEGRINI;BAIXADA
234;10013;10253;30441406000170;1;11/27/1979;MARIA DA CONCEICAO DE SOUZA BAR;BAIXADA
235;10015;10254;59506311000170;1;9/26/1988;POOL PLASTIC COMERCIO LTDA;BAIXADA
236;10015;10255;61005500000100;1;7/17/1989;TUTTI DOLCI PRODUTOS ALIMENTICIOS LTDA;BAIXADA
237;10013;10256;16294894000100;1;6/28/1988;CASSILANDRO RIBEIRO FREIRE ME;ATIVA
238;10015;10257;26528679000180;1;5/17/1990;L A C COMERCIO DE PECAS USADAS LTDA;BAIXADA
239;10013;10258;61672473000120;1;10/3/1989;ANTONIO LAZARINI LARANJAL PAULISTA;BAIXADA
240;10015;10259;78993045000100;1;10/10/1985;ROSA & RACHELLE LTDA ME;BAIXADA
241;10013;10260;21106364000120;1;8/17/1979;GERALDO DIAS DA COSTA;BAIXADA
242;10013;10261;53768289000150;1;8/28/1984;FRANCISCA DE LIMA ROCHA;BAIXADA
243;10015;10262;71196976000120;1;11/9/1993;FAST FORWARD ESCOLA DE IDIOMAS LTDA;BAIXADA
244;10015;10263;77650638000100;1;2/22/1979;COMERCIAL DE MOVEIS VALE DO IVAI LTDA ME;BAIXADA
245;10013;10264;79754792000140;1;12/1/1986;ROMILDO TSUTOMU NAKAKOGUE;BAIXADA
246;10015;10265;32431462000150;1;9/26/1989;COLAPEL COLATINA PAPEIS LTDA;BAIXADA
247;10013;10266;73104580000130;1;11/25/1993;MARIO PEREZ ITAPETININGA;BAIXADA
248;10015;10267;74081167000160;1;1/19/1994;LANCHONETE E RESTAURANTE CARDILHO LTDA;BAIXADA
249;10013;10268;73131021000110;1;12/2/1993;ANTONIO BENEDITO BOLDO;BAIXADA
250;10015;10269;80101264000170;1;7/2/1987;CROQUI ASSESSORIA TEXTIL LTDA;BAIXADA
251;10053;10270;78744604000130;1;5/8/1985;CAIADO & ASSOCIADOS CONSULTORIA EMPRESARIAL LTDA SC;BAIXADA
252;10013;10271;71367874000120;1;11/8/1993;GILBERTO VALENTE TEIXEIRA;BAIXADA
253;10015;10272;76664895000120;1;2/22/1983;COMERCIO DE ARTIGOS DO VESTUARIO VIKING LTDA;BAIXADA
254;10013;10273;77480754000110;1;11/14/1977;JOAO ALVES ALIMENTICIOS ME;BAIXADA
255;10013;10274;75814319000230;0;3/12/1984;VANDA BONA;BAIXADA
256;10013;10275;41909805000130;1;5/7/1992;EDHMAR DE ARAUJO;BAIXADA
257;10015;10276;48763809000100;1;3/18/1977;JOSEL KAR COMERCIO DE AUTOMOVEIS LTDA;BAIXADA
258;10013;10277;38857462000100;1;6/6/1990;JOAQUIM DOMINGUES BASTOS;BAIXADA
259;10015;10278;43716505000160;1;6/18/1973;INBRADIL INSTITUTO BRASILEIRO DE DIVULGACAO DO LIVRO LT;BAIXADA
260;10013;10279;45533981000170;1;2/26/1981;LAERT NOEL RAVANINI;BAIXADA
261;10015;10280;53112561000300;0;3/21/2005;XEQ MAQ COMERCIO DE MAQUINA PARA ESCRITORIO LTDA ME;ATIVA
262;10053;10281;49464951000100;1;10/25/1978;MARIO ROBERTO SIGGIA REPRESENTACOES S C LTDA;BAIXADA
263;10013;10282;41207010000180;1;7/1/1993;IBRAHIM MARCOLINO GUIMARAES;BAIXADA
264;10053;10283;43325992000130;1;6/12/1987;PRO TEMOM LIMPEZAS INDUSTRIAIS LTDA SC;BAIXADA
265;10015;10284;32641367000180;1;2/24/1989;SELTREIN CONSULTORES DE RECURSOS HUMANOS LTDA;BAIXADA
266;10013;10285;34955781000190;1;7/6/1989;P R ALMEIDA CAMPOS;BAIXADA
267;10015;10286;36541985000100;1;12/1/1992;VIGSERVE SEGURANCA LTDA;BAIXADA
268;10013;10287;01756145000180;1;4/10/1997;LUIZ CARLOS EMOLO TRANSPORTES ME;BAIXADA
269;10053;10288;57325557000110;1;8/22/1990;ESCRITORIO SAO PAULO LTDA SC;BAIXADA
270;10013;10289;75814319000150;1;3/9/1981;VANDA BONA;BAIXADA
271;10015;10290;07313662000160;1;4/1/2005;KFB RESTAURANTE E PIZZARIA LTDA ME;BAIXADA
